Project,Coverage > -95dBm (%),Coverage > -100dBm (%),Num_Transmitters,Reward,Output_File
libya_tile_square_centroid_101_469,94.95858001708984,94.95858001708984,23,"tensor(0.6770, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_469\deployed_transmitters_20250903_060944.csv
libya_tile_square_centroid_102_133,93.2634048461914,93.2634048461914,18,"tensor(0.5890, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_133\deployed_transmitters_20250903_060944.csv
libya_tile_square_centroid_102_430,91.8503189086914,91.8503189086914,13,"tensor(0.4487, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_430\deployed_transmitters_20250903_060946.csv
libya_tile_square_centroid_102_431,92.01101684570312,92.01101684570312,15,"tensor(0.5185, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_431\deployed_transmitters_20250903_060946.csv
libya_tile_square_centroid_102_432,93.37995147705078,93.37995147705078,20,"tensor(0.5732, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_432\deployed_transmitters_20250903_060946.csv
libya_tile_square_centroid_102_433,91.919189453125,91.919189453125,20,"tensor(0.5146, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_433\deployed_transmitters_20250903_060946.csv
libya_tile_square_centroid_102_434,91.78144836425781,91.78144836425781,23,"tensor(0.6580, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_434\deployed_transmitters_20250903_060947.csv
libya_tile_square_centroid_102_435,93.31002044677734,93.31002044677734,16,"tensor(0.5787, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_435\deployed_transmitters_20250903_060947.csv
libya_tile_square_centroid_102_436,95.00592041015625,95.00592041015625,11,"tensor(0.3958, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_436\deployed_transmitters_20250903_060947.csv
libya_tile_square_centroid_102_437,91.66667175292969,91.66667175292969,17,"tensor(0.6369, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_437\deployed_transmitters_20250903_060947.csv
libya_tile_square_centroid_102_439,93.51981353759766,93.51981353759766,24,"tensor(0.6712, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_439\deployed_transmitters_20250903_060948.csv
